Time: 15.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.25, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.07, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.49, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.39, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.81, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 55.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 61.91, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.39, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 85.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 70.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.27, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.34, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.86, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.0, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.33, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.49, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.98, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.51, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.95, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.94, Collision Actor ID: 0, Collision Actor Type: static.terrain
